,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,season,city,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,won by,margin,target,umpire1,umpire2
0,0,0,0,0,0,0,0,0,335982,2008,Bangalore,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140.0,223.0,Asad Rauf,RE Koertzen
1,1,1,1,1,1,1,1,1,335983,2008,Chandigarh,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,241.0,MR Benson,SL Shastri
2,2,2,2,2,2,2,2,2,335984,2008,Delhi,MF Maharoof,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9.0,130.0,Aleem Dar,GA Pratapkumar
3,3,3,3,3,3,3,3,3,335985,2008,Mumbai,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5.0,166.0,SJ Davis,DJ Harper
4,4,4,4,4,4,4,4,4,335986,2008,Kolkata,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,5.0,111.0,BF Bowden,K Hariharan
5,5,5,5,5,5,5,5,5,335987,2008,Jaipur,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,wickets,6.0,167.0,Aleem Dar,RB Tiffin
6,6,6,6,6,6,6,6,6,335988,2008,Hyderabad,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,wickets,9.0,143.0,IL Howell,AM Saheba
7,7,7,7,7,7,7,7,7,335989,2008,Chennai,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,209.0,DJ Harper,GA Pratapkumar
8,8,8,8,8,8,8,8,8,335990,2008,Hyderabad,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,215.0,Asad Rauf,MR Benson
9,9,9,9,9,9,9,9,9,335991,2008,Chandigarh,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,66.0,183.0,Aleem Dar,AM Saheba
10,10,10,10,10,10,10,10,10,335992,2008,Bangalore,SR Watson,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,136.0,MR Benson,IL Howell
11,11,11,11,11,11,11,11,11,335993,2008,Chennai,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,148.0,BF Bowden,AV Jayaprakash
12,12,12,12,12,12,12,12,12,335994,2008,Mumbai,AC Gilchrist,Dr DY Patil Sports Academy,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,10.0,155.0,Asad Rauf,SL Shastri
13,13,13,13,13,13,13,13,13,335995,2008,Chandigarh,SM Katich,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,wickets,4.0,159.0,RE Koertzen,I Shivram
